2026-05-24 12:01:00 | INFO     | metrics_exporter | Exported random_forest: RMSE=2.9904 R�=0.8770
2026-05-24 12:01:00 | INFO     | metrics_exporter | Exported linear_regression: RMSE=4.8316 R�=0.6790
2026-05-24 12:01:15 | INFO     | metrics_exporter | Metrics synced from local files.
2026-05-24 12:01:17 | INFO     | metrics_exporter | Exported random_forest: RMSE=2.9904 R�=0.8770
2026-05-24 12:01:17 | INFO     | metrics_exporter | Exported linear_regression: RMSE=4.8316 R�=0.6790
2026-05-24 12:01:32 | INFO     | metrics_exporter | Metrics synced from local files.
2026-05-24 12:01:34 | INFO     | metrics_exporter | Exported random_forest: RMSE=2.9904 R�=0.8770
2026-05-24 12:01:34 | INFO     | metrics_exporter | Exported linear_regression: RMSE=4.8316 R�=0.6790
2026-05-24 12:01:49 | INFO     | metrics_exporter | Metrics synced from local files.
2026-05-24 12:01:52 | INFO     | metrics_exporter | Exported random_forest: RMSE=2.9904 R�=0.8770
2026-05-24 12:01:52 | INFO     | metrics_exporter | Exported linear_regression: RMSE=4.8316 R�=0.6790
2026-05-24 12:02:07 | INFO     | metrics_exporter | Metrics synced from local files.
2026-05-24 12:02:09 | INFO     | metrics_exporter | Exported random_forest: RMSE=2.9904 R�=0.8770
2026-05-24 12:02:09 | INFO     | metrics_exporter | Exported linear_regression: RMSE=4.8316 R�=0.6790
2026-05-24 12:02:24 | INFO     | metrics_exporter | Metrics synced from local files.
2026-05-24 12:02:26 | INFO     | metrics_exporter | Exported random_forest: RMSE=2.9904 R�=0.8770
2026-05-24 12:02:26 | INFO     | metrics_exporter | Exported linear_regression: RMSE=4.8316 R�=0.6790
2026-05-24 12:02:41 | INFO     | metrics_exporter | Metrics synced from local files.
2026-05-24 12:02:43 | INFO     | metrics_exporter | Exported random_forest: RMSE=2.9904 R�=0.8770
2026-05-24 12:02:43 | INFO     | metrics_exporter | Exported linear_regression: RMSE=4.8316 R�=0.6790
2026-05-24 12:02:58 | INFO     | metrics_exporter | Metrics synced from local files.
2026-05-24 12:03:00 | INFO     | metrics_exporter | Exported random_forest: RMSE=2.9904 R�=0.8770
2026-05-24 12:03:00 | INFO     | metrics_exporter | Exported linear_regression: RMSE=4.8316 R�=0.6790
2026-05-24 12:03:15 | INFO     | metrics_exporter | Metrics synced from local files.
2026-05-24 12:03:18 | INFO     | metrics_exporter | Exported random_forest: RMSE=2.9904 R�=0.8770
